,t,NT,motivation,num
699,27.96,35.0,high,0.0
700,28.0,35.0,high,0.0
701,28.04,35.0,high,0.0
702,28.08,35.0,high,0.0
703,28.12,35.0,high,0.0
704,28.16,35.0,high,0.0
705,28.2,36.0,high,0.0
706,28.24,36.0,high,0.0
707,28.28,36.0,high,0.0
708,28.32,36.0,high,0.0
709,28.36,36.0,high,0.0
710,28.4,36.0,high,0.0
711,28.44,36.0,high,0.0
712,28.48,36.0,high,0.0
713,28.52,36.0,high,0.0
714,28.56,36.0,high,0.0
715,28.6,36.0,high,0.0
716,28.64,36.0,high,0.0
717,28.68,36.0,high,0.0
718,28.72,36.0,high,0.0
719,28.76,36.0,high,0.0
720,28.8,36.0,high,0.0
721,28.84,36.0,high,0.0
722,28.88,36.0,high,0.0
723,28.92,36.0,high,0.0
724,28.96,36.0,high,0.0
725,29.0,36.0,high,0.0
726,29.04,36.0,high,0.0
727,29.08,36.0,high,0.0
728,29.12,36.0,high,0.0
729,29.16,36.0,high,0.0
730,29.2,36.0,high,0.0
731,29.24,36.0,high,0.0
732,29.28,36.0,high,0.0
733,29.32,36.0,high,0.0
734,29.36,36.0,high,0.0
735,29.4,36.0,high,0.0
736,29.44,36.0,high,0.0
737,29.48,37.0,high,0.0
738,29.52,37.0,high,0.0
739,29.56,37.0,high,0.0
740,29.6,37.0,high,0.0
741,29.64,37.0,high,0.0
742,29.68,37.0,high,0.0
743,29.72,37.0,high,0.0
744,29.76,38.0,high,0.0
745,29.8,38.0,high,0.0
746,29.84,38.0,high,0.0
747,29.88,38.0,high,0.0
748,29.92,38.0,high,0.0
749,29.96,38.0,high,0.0
750,30.0,38.0,high,0.0
751,30.04,38.0,high,0.0
752,30.08,38.0,high,0.0
753,30.12,38.0,high,0.0
754,30.16,38.0,high,0.0
755,30.2,38.0,high,0.0
756,30.24,38.0,high,0.0
757,30.28,38.0,high,0.0
758,30.32,38.0,high,0.0
759,30.36,38.0,high,0.0
760,30.4,38.0,high,0.0
761,30.44,38.0,high,0.0
762,30.48,38.0,high,0.0
763,30.52,38.0,high,0.0
764,30.56,38.0,high,0.0
765,30.6,38.0,high,0.0
766,30.64,38.0,high,0.0
767,30.68,38.0,high,0.0
768,30.72,39.0,high,0.0
769,30.76,39.0,high,0.0
770,30.8,39.0,high,0.0
771,30.84,39.0,high,0.0
772,30.88,39.0,high,0.0
773,30.92,39.0,high,0.0
774,30.96,39.0,high,0.0
775,31.0,39.0,high,0.0
776,31.04,39.0,high,0.0
777,31.08,39.0,high,0.0
778,31.12,39.0,high,0.0
779,31.16,39.0,high,0.0
780,31.2,39.0,high,0.0
781,31.24,39.0,high,0.0
782,31.28,39.0,high,0.0
783,31.32,39.0,high,0.0
784,31.36,39.0,high,0.0
785,31.4,39.0,high,0.0
786,31.44,39.0,high,0.0
787,31.48,39.0,high,0.0
788,31.52,39.0,high,0.0
789,31.56,39.0,high,0.0
790,31.6,39.0,high,0.0
791,31.64,39.0,high,0.0
792,31.68,39.0,high,0.0
793,31.72,39.0,high,0.0
794,31.76,39.0,high,0.0
795,31.8,39.0,high,0.0
796,31.84,40.0,high,0.0
797,31.88,41.0,high,0.0
798,31.92,41.0,high,0.0
799,31.96,41.0,high,0.0
800,32.0,41.0,high,0.0
801,32.04,41.0,high,0.0
802,32.08,41.0,high,0.0
803,32.12,41.0,high,0.0
804,32.16,41.0,high,0.0
805,32.2,41.0,high,0.0
806,32.24,41.0,high,0.0
807,32.28,41.0,high,0.0
808,32.32,41.0,high,0.0
809,32.36,41.0,high,0.0
810,32.4,41.0,high,0.0
811,32.44,41.0,high,0.0
812,32.48,41.0,high,0.0
813,32.52,41.0,high,0.0
814,32.56,41.0,high,0.0
815,32.6,41.0,high,0.0
816,32.64,41.0,high,0.0
817,32.68,41.0,high,0.0
818,32.72,41.0,high,0.0
819,32.76,41.0,high,0.0
820,32.8,41.0,high,0.0
821,32.84,41.0,high,0.0
822,32.88,41.0,high,0.0
823,32.92,41.0,high,0.0
824,32.96,41.0,high,0.0
825,33.0,41.0,high,0.0
826,33.04,41.0,high,0.0
827,33.08,41.0,high,0.0
828,33.12,41.0,high,0.0
829,33.16,41.0,high,0.0
830,33.2,41.0,high,0.0
831,33.24,41.0,high,0.0
832,33.28,41.0,high,0.0
833,33.32,41.0,high,0.0
834,33.36,42.0,high,0.0
835,33.4,42.0,high,0.0
836,33.44,42.0,high,0.0
837,33.48,42.0,high,0.0
838,33.52,42.0,high,0.0
839,33.56,42.0,high,0.0
840,33.6,42.0,high,0.0
841,33.64,42.0,high,0.0
842,33.68,42.0,high,0.0
843,33.72,42.0,high,0.0
844,33.76,42.0,high,0.0
845,33.8,42.0,high,0.0
846,33.84,42.0,high,0.0
847,33.88,42.0,high,0.0
848,33.92,42.0,high,0.0
849,33.96,42.0,high,0.0
850,34.0,42.0,high,0.0
851,34.04,42.0,high,0.0
852,34.08,42.0,high,0.0
853,34.12,42.0,high,0.0
854,34.16,43.0,high,0.0
855,34.2,43.0,high,0.0
856,34.24,43.0,high,0.0
857,34.28,43.0,high,0.0
858,34.32,43.0,high,0.0
859,34.36,43.0,high,0.0
860,34.4,43.0,high,0.0
861,34.44,43.0,high,0.0
862,34.48,43.0,high,0.0
863,34.52,43.0,high,0.0
864,34.56,43.0,high,0.0
865,34.6,43.0,high,0.0
866,34.64,43.0,high,0.0
867,34.68,43.0,high,0.0
868,34.72,43.0,high,0.0
869,34.76,43.0,high,0.0
